total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
22,1.9547e+07,2.08568e+07,0,1,1,1,2,3,0,3,3,3,5,824840,5.90158e+07,1.1173e+07,5.85888e+07,3.13299e+07,1.94285e+07,5.7964e+07,3.55544e+07,1.07761e+07,100203,2.94818e+06,6.52328e+06,316059,1.51351e+06,3.05966e+06,284757,1.34404e+06,2.21436e+06,3.21561e+07,4.37906e+07
79,74.3605,76.8196,1,4,6,3,8,5,10,11,6,14,12,176.939,55.6449,108.932,58.8819,1.74676,139.327,58.9672,200.803,95.5089,291.713,81.7555,33.1344,22.5095,190.376,183.063,207.391,125.495,113.687,174.779,228.011
82,2.71989e+07,2.15845e+07,0,4,5,3,7,4,10,11,6,14,18,2.7161e+07,1.58744e+07,6.30634e+06,1.61643e+07,2.86688e+07,8.15054e+06,2.69925e+07,1.46116e+07,8.39477e+06,57002.7,510629,5.01829e+07,5.08917e+07,8.22121e+07,7.23232e+07,5.33801e+07,5.9281e+07,9.6452e+06,6.42106e+07,8.36275e+07
22,64.9431,66.0967,1,1,1,2,2,2,1,3,3,3,4,153.474,35.512,127.476,14.0131,142.293,34.7194,31.6343,0.853261,12.1455,33.2393,0.686757,5.975,11.971,157.777,142.161,128.247,1.4165,7.5035,12.724,206.713
21,2.11923e+07,2.11562e+07,0,1,1,1,2,1,2,3,3,3,4,866336,6.07773e+07,1.28849e+07,6.03416e+07,2.91027e+07,2.68118e+07,548000,9.12905e+06,3.08742e+07,5.94731e+07,4.62568e+07,2.97706e+07,261360,1.85257e+06,3.68658e+06,185136,1.69015e+06,2.22415e+06,3.16744e+07,1.54358e+07
83,86.0669,67.9882,1,3,4,8,4,8,10,6,12,12,16,93.1104,63.6635,208.62,124.458,216.487,52.4953,88.7804,112.227,41.7149,25.5539,83.9236,160.226,227.29,23.2561,178.04,39.9251,5.02962,146.933,146.904,35.8559
85,2.80878e+07,2.50134e+07,0,4,4,4,8,8,6,12,6,13,20,7.0795e+06,3.80707e+06,6.0614e+06,3.88696e+07,2.59376e+07,8.55157e+06,5.83926e+06,2.08319e+07,1.91842e+07,2.05777e+06,2.975e+06,1.84949e+07,6.94022e+07,9.78558e+07,6.36137e+07,6.60381e+07,8.9828e+07,6.00436e+07,2.93836e+07,6.53588e+07
23,80.3536,55.8011,1,1,2,2,2,0,2,3,3,4,4,85.5199,24.9406,135.947,112.899,98.2199,130.96,9.41579,21.4011,8.56124,69.9632,1.38484,3.65548,26.5287,159.029,154.361,117.594,174.297,14.8712,92.7269,95.7044
23,2.64638e+07,2.29014e+07,0,1,2,2,2,0,2,3,3,4,4,2.6431e+07,5.02132e+06,4.22995e+07,6.32014e+07,5.3987e+07,6.14066e+07,8.84474e+06,2.21778e+07,6.56359e+06,6.73487e+07,5.9019e+07,5.41806e+07,1.44354e+06,457019,1.23156e+06,6.52653e+06,3.05716e+07,3.08444e+06,1.46773e+07,1.7793e+07
85,85.0959,70.6857,1,3,6,6,4,10,10,5,13,14,14,139.774,48.559,36.8447,90.4471,41.5203,135.796,35.7886,122.714,77.0355,30.8017,115.853,33.7356,9.90826,117.392,236.08,241.025,118.754,134.658,163.421,99.1902
85,3.25683e+07,2.50736e+07,0,3,6,3,7,10,5,11,13,8,19,2.51638e+07,7.11124e+06,3.41117e+06,1.45401e+07,1.5677e+07,2.17709e+07,49934.2,2.39184e+07,6.90143e+07,6.77092e+07,1.84943e+06,5.68594e+07,5.38902e+07,8.3253e+07,7.79305e+07,5.6302e+07,6.0683e+07,4.39156e+07,1.00682e+08,8.67522e+07
